experiment,dataset,value,fixed,seed,n_clients,computing,communication,total,n_rounds,n_rounds_file,scale,n_rounds_equiv,file
batch,femnist,0.2,"C = 20, tx = 1.0",1337,20,257.316275658,898.817996226,1156.134271884,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.2_bg_multi_tx_1.0_fp_500000000_seed_1337.csv
batch,femnist,0.2,"C = 20, tx = 1.0",2026,20,257.316275658,895.277027526,1152.593303184,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.2_bg_multi_tx_1.0_fp_500000000_seed_2026.csv
batch,femnist,0.2,"C = 20, tx = 1.0",8888,20,257.316275658,897.09799066,1154.414266318,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.2_bg_multi_tx_1.0_fp_500000000_seed_8888.csv
batch,femnist,0.2,"C = 20, tx = 1.0",9999,20,257.316275658,900.006808896,1157.3230845540002,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.2_bg_multi_tx_1.0_fp_500000000_seed_9999.csv
batch,femnist,0.4,"C = 20, tx = 1.0",42,20,528.189537796,819.6297722019999,1347.8193099979999,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.4_bg_multi_tx_1.0_fp_500000000_seed_42.csv
batch,femnist,0.4,"C = 20, tx = 1.0",1337,20,528.189537796,818.282420988,1346.471958784,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.4_bg_multi_tx_1.0_fp_500000000_seed_1337.csv
batch,femnist,0.4,"C = 20, tx = 1.0",2026,20,528.189537796,816.632908994,1344.82244679,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.4_bg_multi_tx_1.0_fp_500000000_seed_2026.csv
batch,femnist,0.4,"C = 20, tx = 1.0",8888,20,528.189537796,818.426728794,1346.6162665900001,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.4_bg_multi_tx_1.0_fp_500000000_seed_8888.csv
batch,femnist,0.4,"C = 20, tx = 1.0",9999,20,528.189537796,816.8947574599999,1345.0842952560001,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.4_bg_multi_tx_1.0_fp_500000000_seed_9999.csv
batch,femnist,0.5,"C = 20, tx = 1.0",42,20,674.76938478,774.4784947559999,1449.247879536,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.5_bg_multi_tx_1.0_fp_500000000_seed_42.csv
batch,femnist,0.5,"C = 20, tx = 1.0",1337,20,674.76938478,774.669301208,1449.438685988,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.5_bg_multi_tx_1.0_fp_500000000_seed_1337.csv
batch,femnist,0.5,"C = 20, tx = 1.0",2026,20,674.76938478,774.498008156,1449.2673929359999,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.5_bg_multi_tx_1.0_fp_500000000_seed_2026.csv
batch,femnist,0.5,"C = 20, tx = 1.0",8888,20,674.76938478,773.3614100719999,1448.130794852,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.5_bg_multi_tx_1.0_fp_500000000_seed_8888.csv
batch,femnist,0.5,"C = 20, tx = 1.0",9999,20,674.76938478,774.187192206,1448.9565769859998,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.5_bg_multi_tx_1.0_fp_500000000_seed_9999.csv
batch,femnist,0.6,"C = 20, tx = 1.0",42,20,805.464567828,735.846621366,1541.311189194,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.6_bg_multi_tx_1.0_fp_500000000_seed_42.csv
batch,femnist,0.6,"C = 20, tx = 1.0",1337,20,805.464567828,734.253029104,1539.7175969319999,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.6_bg_multi_tx_1.0_fp_500000000_seed_1337.csv
batch,femnist,0.6,"C = 20, tx = 1.0",2026,20,805.464567828,736.241572916,1541.706140744,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.6_bg_multi_tx_1.0_fp_500000000_seed_2026.csv
batch,femnist,0.6,"C = 20, tx = 1.0",8888,20,805.464567828,735.229475042,1540.69404287,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.6_bg_multi_tx_1.0_fp_500000000_seed_8888.csv
batch,femnist,0.6,"C = 20, tx = 1.0",9999,20,805.464567828,734.512852876,1539.977420704,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.6_bg_multi_tx_1.0_fp_500000000_seed_9999.csv
batch,femnist,0.8,"C = 20, tx = 1.0",42,20,1090.51253387,650.1910711180001,1740.7036049879998,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.8_bg_multi_tx_1.0_fp_500000000_seed_42.csv
batch,femnist,0.8,"C = 20, tx = 1.0",1337,20,1090.51253387,648.8624905439999,1739.3750244139999,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.8_bg_multi_tx_1.0_fp_500000000_seed_1337.csv
batch,femnist,0.8,"C = 20, tx = 1.0",2026,20,1090.51253387,650.168431758,1740.680965628,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.8_bg_multi_tx_1.0_fp_500000000_seed_2026.csv
batch,femnist,0.8,"C = 20, tx = 1.0",8888,20,1090.51253387,651.0761217500001,1741.5886556199998,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.8_bg_multi_tx_1.0_fp_500000000_seed_8888.csv
batch,femnist,0.8,"C = 20, tx = 1.0",9999,20,1090.51253387,652.323408182,1742.835942052,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.8_bg_multi_tx_1.0_fp_500000000_seed_9999.csv
batch,femnist,0.9,"C = 20, tx = 1.0",42,30,1234.7979936759998,610.697753896,1845.4957475719998,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.9_bg_multi_tx_1.0_fp_500000000_seed_42.csv
batch,femnist,0.9,"C = 20, tx = 1.0",1337,30,1234.7979936759998,612.05618492,1846.854178596,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.9_bg_multi_tx_1.0_fp_500000000_seed_1337.csv
batch,femnist,0.9,"C = 20, tx = 1.0",2026,30,1234.7979936759998,608.6355352319999,1843.433528908,250,277,2.0,500,metrics_network_heterogeneous_femnist_minibatch_c_20_mb_0.9_bg_multi_tx_1.0_fp_500000000_seed_2026.csv
